Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
347852,"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,"Peck, M. Scott",,"=""""","=""""",0,4.08,Simon & Schuster,Paperback,320,1978,1978,,2025/12/19,to-read,to-read (#68),to-read,,,,0,0
61663,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,"Sagan, Carl",,"=""0345376595""","=""9780345376596""",0,4.34,Ballantine Books,Paperback,384,1997,1994,,2025/11/08,to-read,to-read (#67),to-read,,,,0,0
231279088,The Dream of a Ridiculous Man (Penguin Archive),Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",Fyodor Dostoevsky,"=""0241746914""","=""9780241746912""",0,4.03,Penguin Classics,Paperback,144,2025,1877,,2025/08/28,currently-reading,currently-reading (#10),currently-reading,,,,1,0
231290387,To Read and Dream (Penguin Archive),Christina Rossetti,"Rossetti, Christina",,"=""0241747236""","=""9780241747230""",4,3.97,Penguin Classics,Paperback,144,2025,,2025/08/17,2025/07/24,,,read,they said the title of the book in the end,,,1,0
214439135,Mari Pergi Lebih Jauh,Ziggy Zezsyazeoviennazabrizkie,"Zezsyazeoviennazabrizkie, Ziggy",,"=""6231342328""","=""9786231342324""",0,4.03,Kepustakaan Populer Gramedia,Paperback,217,2024,,,2025/07/12,currently-reading,currently-reading (#9),currently-reading,,,,1,0
59345269,Kita Pergi Hari Ini,Ziggy Zezsyazeoviennazabrizkie,"Zezsyazeoviennazabrizkie, Ziggy",,"=""""","=""""",4,4.32,Gramedia Pustaka Utama,Paperback,192,2021,,2025/07/12,2025/07/03,,,read,wowzer,,,1,0
762390,The Hour of the Star,Clarice Lispector,"Lispector, Clarice",Giovanni Pontiero,"=""0811211908""","=""9780811211901""",5,4.11,New Directions,Paperback,96,1992,1977,2025/07/09,2025/02/20,,,read,yeb,,,1,0
14276,"So Long, See You Tomorrow",William Maxwell,"Maxwell, William",,"=""1860464181""","=""9781860464188""",0,3.87,Harvill,Paperback,135,1998,1980,,2025/06/30,to-read,to-read (#66),to-read,,,,0,0
60503957,Tiga dalam Kayu,Ziggy Zezsyazeoviennazabrizkie,"Zezsyazeoviennazabrizkie, Ziggy",,"=""""","=""""",4,3.65,Kepustakaan Populer Gramedia,Paperback,168,2022,,2025/05/27,2025/05/03,,,read,"sampai nanti, sampai kita bertemu kembali",,,1,0
34311766,Jakarta Sebelum Pagi,Ziggy Zezsyazeoviennazabrizkie,"Zezsyazeoviennazabrizkie, Ziggy",,"=""""","=""""",5,4.32,Grasindo,Paperback,280,2017,2016,2025/04/27,2025/04/26,,,read,,,,1,0
23129811,On Palestine,Noam Chomsky,"Chomsky, Noam","Ilan Pappé, Frank Barat","=""1608464709""","=""9781608464708""",5,4.27,Haymarket Books,Paperback,220,2015,2015,2025/04/17,2025/03/01,,,read,1st book read this year,,,1,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",0,3.50,Atlantic Monthly Press,Hardcover,224,2023,2023,,2025/04/18,to-read,to-read (#65),to-read,,,,0,0
60472556,Too Much of Life,Clarice Lispector,"Lispector, Clarice",,"=""0241597579""","=""9780241597576""",0,4.50,Penguin Classics,Paperback,742,2022,2018,,2025/03/09,to-read,to-read (#64),to-read,,,,0,0
53492652,An Apprenticeship or The Book of Pleasures,Clarice Lispector,"Lispector, Clarice","Stefan Tobler, Sheila Heti, Benjamin Moser","=""0811230619""","=""9780811230612""",0,4.26,New Directions,Hardcover,176,2021,1969,,2025/02/06,to-read,to-read (#63),to-read,,,,0,0
822496,Metamorphosis and Other Stories,Franz Kafka,"Kafka, Franz",Michael Hofmann,"=""014118812X""","=""9780141188126""",0,3.88,Penguin Books Ltd,Paperback,299,2007,1915,,2024/12/31,currently-reading,currently-reading (#8),currently-reading,,,,1,0
219848315,The Emperor of Gladness,Ocean Vuong,"Vuong, Ocean",,"=""059383187X""","=""9780593831878""",0,3.92,Penguin Press,Hardcover,416,2025,2025,,2024/12/29,to-read,to-read (#62),to-read,,,,0,0
7723,The Metamorphosis and Other Stories,Franz Kafka,"Kafka, Franz","Jason Baker, Donna Freed","=""1593080298""","=""9781593080297""",0,3.90,Barnes & Noble Classics,Paperback,224,2003,1915,,2024/12/28,to-read,to-read (#61),to-read,,,,0,0
40338442,The White Book,Han Kang,"Kang, Han",Deborah Smith,"=""0525573062""","=""9780525573067""",4,3.81,Hogarth,Hardcover,157,2019,2016,2024/12/28,2024/12/24,,,read,Grief,,,1,0
50158,N.P,Banana Yoshimoto,"Yoshimoto, Banana",Ann Sherif,"=""0802142990""","=""9780802142993""",3,3.54,Grove Press,Paperback,208,2008,1990,2024/12/23,2024/12/20,,,read,nah,,,1,0
60811826,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline","Ros Schwartz, Sophie Mackintosh","=""1945492600""","=""9781945492600""",4,4.11,Transit Books,Paperback,184,2022,1995,2024/12/12,2024/11/29,,,read,Das crazy,,,1,0
194808,To Build a Fire,Jack London,"London, Jack",,"=""0968709184""","=""9780968709184""",0,3.99,Wolf Creek Books,Paperback,32,2003,1902,,2024/12/03,to-read,to-read (#60),to-read,,,,0,0
200998630,"Before We Forget Kindness (Before the Coffee Gets Cold, #5)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1035046245""","=""9781035046249""",4,3.89,Picador,Hardcover,224,2024,2023,2024/11/26,2024/11/23,,,read,Omnomnom,,,1,0
61686012,Greek Lessons,Han Kang,"Kang, Han","Deborah     Smith, Emily Yae Won","=""0593595270""","=""9780593595275""",4,3.61,Hogarth,Hardcover,192,2023,2011,2024/11/18,2024/07/02,,,read,Mmmm blue,,,1,0
99690,No Man Is an Island,Thomas Merton,"Merton, Thomas",,"=""1590302532""","=""9781590302538""",0,4.15,Shambhala,Hardcover,272,2005,1955,,2024/10/21,to-read,to-read (#59),to-read,,,,0,0
33848032,Semua Ikan di Langit,Ziggy Zezsyazeoviennazabrizkie,"Zezsyazeoviennazabrizkie, Ziggy",,"=""""","=""""",5,4.21,Gramedia Widiasarana Indonesia,Paperback,264,2017,2017,2024/10/15,2024/09/26,,,read,Dipatiukur Leuwipanjang,,,1,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",0,3.65,Hogarth,Hardcover,158,2016,2007,,2024/10/11,to-read,to-read (#58),to-read,,,,0,0
204593511,The Lantern of Lost Memories,Sanaka Hiiragi,"Hiiragi, Sanaka",Jesse Kirkwood,"=""1538757435""","=""9781538757437""",0,4.06,Grand Central Publishing,Hardcover,208,2024,2019,,2024/10/11,currently-reading,currently-reading (#7),currently-reading,,,,1,0
27213435,Di Tanah Lada,Ziggy Zezsyazeoviennazabrizkie,"Zezsyazeoviennazabrizkie, Ziggy",,"=""6020318966""","=""9786020318967""",5,4.22,Gramedia Pustaka Utama,Paperback,244,2015,2015,2024/10/10,2024/04/30,,,read,Syp sngka,,,1,0
